game_name,game_image_url,release_world,main_story,main_extra,completionist,Platform
inFAMOUS 2,"https://howlongtobeat.com/games/4675_inFAMOUS_2.png ",2011,12.49,17.21,23.96,PlayStation 3
Intergalactic: The Heretic Prophet,"https://howlongtobeat.com/games/160614_Intergalactic_The_Heretic_Prophet.jpg ",2026,0,0,0,PlayStation 5
Interstellaria,"https://howlongtobeat.com/games/Interstellaria_header.jpg ",2015,0,0,0,
JOY OF PROGRAMMING - Software Engineering Simulator,"https://howlongtobeat.com/games/159440_JOY_OF_PROGRAMMING_-_Software_Engineering_Simulator.jpg ",2024,0,0,0,PC
Kane & Lynch 2: Dog Days,"https://howlongtobeat.com/games/4923_Kane_&_Lynch_2_Dog_Days.jpg ",2010,4.8,5.4,9.4,"PC, PlayStation 3"
Kelvin and the Infamous Machine,"https://howlongtobeat.com/games/35876_Kelvin_and_the_Infamous_Machine.jpg ",2016,4.15,4.23,4.57,PC
Kingdom Come: Deliverance,"https://howlongtobeat.com/games/Kingdom-Come-Deliverance.jpg ",2018,41.4,80.62,131.3,
Kingdom Hearts (PS2),"https://howlongtobeat.com/games/5037_Kingdom_Hearts.jpg ",2002,28.47,41.2,62.65,
Lil Gator Game,"https://howlongtobeat.com/games/91184_Lil_Gator_Game.jpg ",2022,3.16,4.08,5.08,"PC, PlayStation 4, PlayStation 5"
Lorelai,"https://howlongtobeat.com/games/66713_Lorelai.jpg ",2019,5.61,5.92,7.35,PC
Lucius,"https://howlongtobeat.com/games/220px-Lucius_video_game_cover.png ",2012,6.14,7.54,40.05,
Mark of the Ninja,"https://howlongtobeat.com/games/250px-Mark_of_the_Ninja_artwork.jpg ",2012,8.39,12.38,20.69,
Medieval Dynasty,"https://howlongtobeat.com/games/83172_Medieval_Dynasty.jpg ",2020,27.95,52.46,229.81,
Metal Gear Solid V: The Phantom Pain,"https://howlongtobeat.com/games/MetalGearSolid5_2013.jpg ",2015,45.63,81.66,163.93,
Metal: Hellsinger,"https://howlongtobeat.com/games/79897_Metal_Hellsinger.jpg ",2022,4.34,6.27,7.32,
Ninja Simulator,,,,,,
Not For Broadcast,"https://howlongtobeat.com/games/74860_Not_For_Broadcast.jpg ",2020,8.3,11.27,39.85,"PC, PlayStation 4, PlayStation 5"
Observer,"https://howlongtobeat.com/games/38127_Observer.jpg ",2017,6.94,8.65,11.48,
Outriders,"https://howlongtobeat.com/games/68276_Outriders.jpg ",2021,16.47,35.76,64,
